index,contest-tmp2m-14d__tmp2m
375734,24.410129494036244
375735,28.584352764840837
375736,35.87499801832322
375737,41.546405992445266
375738,39.77469018846141
375739,37.944632240965205
375740,36.75976808352929
375741,40.48318823533714
375742,31.668776753773983
375743,32.92220787493477
375744,31.366267165674966
375745,33.80859062534702
375746,39.62693041385857
375747,37.36402159610793
375748,36.157799033135795
375749,43.227202691192375
375750,38.640721102698365
375751,31.931902135792846
375752,39.91322025648138
375753,36.73366892965784
375754,38.72017508469435
375755,35.917930700215315
375756,27.134352512324106
375757,37.455250836952565
375758,41.43947041314636
375759,41.89299537346712
375760,38.85047931035617
375761,35.263598191441325
375762,32.54951170006398
375763,42.42330135217016
375764,38.42579129189283
375765,38.686838630388465
375766,-5.125953928265782
375767,-0.6369651514776464
375768,-16.237754352784382
375769,-19.484468028848916
375770,-18.36289597638154
375771,-22.112279957117256
375772,-5.950623459855372
375773,-1.3526892862686717
375774,-10.877780403629167
375775,-0.7552518397698567
375776,-13.486971092210272
375777,-12.223155159107057
375778,-10.67760844126646
375779,-5.482353377192938
375780,-7.16673723025167
375781,-10.112387390073586
375782,-9.945779848601878
375783,4.462476550571908
375784,0.37087646137854424
375785,-1.4108179168981048
375786,-2.9782444950231834
375787,-1.9292996770355204
375788,0.20394941627806418
375789,-2.9821133772639667
375790,-3.4612722710107695
375791,0.39640634342273007
375792,3.62450414072016
375793,3.425109569978989
375794,1.3617926107697658
375795,27.88406663072287
375796,29.948770793284332
375797,37.40849253011757
375798,43.95158163425398
375799,39.470861105298816
375800,40.10629478896941
375801,36.13866229637123
375802,40.75574199056695
375803,33.72024578569564
375804,36.073198794823575
375805,36.59091620964097
375806,34.601821581330306
375807,41.07658638415733
375808,38.46204676388081
375809,37.55957066433907
375810,44.10663440642559
375811,38.115746508003355
375812,35.215270718910624
375813,43.61029325731299
375814,42.219742842743536
375815,40.498279990387886
375816,38.83135476162698
375817,30.456593482009694
375818,36.73946235757068
375819,42.00223512264653
375820,42.9945240263204
375821,38.82286613435726
375822,36.09089852706162
375823,33.67194406146943
375824,43.00040180480392
375825,38.5031967770845
375826,40.198029033320395
375827,-4.142306669171971
375828,-1.4428004408601822
375829,-16.03367363846568
375830,-18.136916972070118
375831,-16.73494895306991
375832,-20.839993273910146
375833,-4.908681342469379
375834,-0.671660410706588
375835,-10.798964599163112
375836,-0.30948012538804726
375837,-13.150017407031102
375838,-12.204038119558577
375839,-10.8166925976228
375840,-8.144624976027535
375841,-5.994198525569761
375842,-9.20041799549171
375843,-9.02021730196843
375844,5.1341899391491825
375845,-0.07428820024329674
375846,-1.4530395811551369
375847,-2.117409760089383
375848,-2.5208726213527646
375849,-1.31901204530915
375850,-2.4978206196045267
375851,-1.7877003876700064
375852,0.9050983193763384
375853,4.551956775794602
375854,6.24160642896661
375855,1.1299151681424853
375856,24.17022489756435
375857,29.25335812952138
375858,36.1680271048496
375859,41.14813013989149
375860,39.77469018846141
375861,37.944632240965205
375862,36.64976416195046
375863,40.087214194585165
375864,31.660239513567227
375865,33.430532737595804
375866,33.77707503912447
375867,33.64614385930401
375868,39.75650583459522
375869,37.36402159610793
375870,37.796050535108186
375871,43.82659881606665
375872,40.15834169311103
375873,32.09122724498272
375874,39.19943573941953
375875,38.858299800952494
375876,40.600006545207236
375877,36.97531812961623
375878,26.931052392558986
375879,37.47587976490578
375880,41.43947041314636
375881,41.85799701194637
375882,37.91930931900207
375883,35.263598191441325
375884,33.348076492736844
375885,42.35219509378572
375886,38.42579129189283
375887,38.686838630388465
375888,-5.125953928265782
375889,-1.0433210843221463
375890,-14.656079825529371
375891,-17.398031372988235
375892,-16.64833569697808
